vessel_ID;vessel_type;arrival_timestamps;time in service;Enter queue timestamp;Enter berth timestamp;Exit berth timestamp;In queue;Time in system
0;0.0;0.07067104489743539;5.409407906679088;0.07067104489743539;0.07067104489743539;5.480078951576523;0.0;5.409407906679088
1;0.0;5.886363886684613;9.171979079565995;5.886363886684613;5.886363886684613;15.058342966250608;0.0;9.171979079565995
2;0.0;7.370614467942682;2.4028667291314916;7.370614467942682;7.370614467942682;9.773481197074172;0.0;2.4028667291314907
3;0.0;9.503972583621906;1.609853406014902;9.503972583621906;9.503972583621906;11.113825989636808;0.0;1.6098534060149028
4;0.0;10.205953523305727;12.462133359377933;10.205953523305727;10.205953523305727;22.66808688268366;0.0;12.462133359377933
5;0.0;10.642558647102796;3.181589071455913;10.642558647102796;10.642558647102796;13.82414771855871;0.0;3.181589071455914
6;0.0;14.871993111881078;6.532819869724887;14.871993111881078;14.871993111881078;21.404812981605964;0.0;6.532819869724886
7;0.0;15.89120177747687;8.97390867282278;15.89120177747687;15.89120177747687;24.86511045029965;0.0;8.97390867282278
8;0.0;16.311465789129027;0.30634403780437;16.311465789129027;16.311465789129027;16.617809826933396;0.0;0.3063440378043687
9;0.0;17.408746188072378;4.234876811675527;17.408746188072378;17.408746188072378;21.643622999747905;0.0;4.234876811675527
10;0.0;19.377391366796108;15.190141599146903;19.377391366796108;19.377391366796108;34.56753296594301;0.0;15.190141599146902
11;0.0;21.12774550415862;10.225503405826352;21.12774550415862;21.12774550415862;31.353248909984973;0.0;10.225503405826352
12;0.0;22.574787757688174;4.2484001616321345;22.574787757688174;22.574787757688174;26.823187919320308;0.0;4.248400161632134
13;0.0;25.855150769294898;4.481598174765575;25.855150769294898;25.855150769294898;30.336748944060474;0.0;4.481598174765576
14;0.0;27.411517213277786;0.9671451220485376;27.411517213277786;27.411517213277786;28.378662335326325;0.0;0.9671451220485388
15;0.0;27.808721765907446;2.9958171572126675;27.808721765907446;27.808721765907446;30.804538923120113;0.0;2.9958171572126666
16;0.0;27.98999981510608;4.0363723174755055;27.98999981510608;27.98999981510608;32.026372132581585;0.0;4.036372317475504
17;0.0;30.400358225272942;6.867676562885233;30.400358225272942;30.400358225272942;37.268034788158175;0.0;6.867676562885233
18;0.0;31.937721362781993;5.11974413618824;31.937721362781993;31.937721362781993;37.05746549897023;0.0;5.119744136188238
19;0.0;32.50065416989272;13.56087213204955;32.50065416989272;32.50065416989272;46.061526301942266;0.0;13.560872132049546
20;0.0;33.80124450024733;4.381887137235943;33.80124450024733;33.80124450024733;38.18313163748327;0.0;4.3818871372359425
21;0.0;37.11271161644314;3.130474003003282;37.11271161644314;37.11271161644314;40.24318561944642;0.0;3.130474003003279
22;0.0;44.20854780632162;2.6602396527665655;44.20854780632162;44.20854780632162;46.86878745908818;0.0;2.6602396527665633
23;0.0;45.839300679644545;10.98276273516187;45.839300679644545;45.839300679644545;56.822063414806415;0.0;10.98276273516187
24;0.0;48.892798511882084;0.15286234314198008;48.892798511882084;48.892798511882084;49.04566085502407;0.0;0.1528623431419831
25;0.0;53.82155902202565;2.7916705093515293;53.82155902202565;53.82155902202565;56.61322953137718;0.0;2.791670509351526
26;0.0;56.50773597253939;15.457563142915546;56.50773597253939;56.50773597253939;71.96529911545494;0.0;15.457563142915546
27;0.0;56.548763494249734;7.7822998214691115;56.548763494249734;56.548763494249734;64.33106331571885;0.0;7.782299821469117
28;0.0;58.336333285395156;0.6334216753105959;58.336333285395156;58.336333285395156;58.96975496070575;0.0;0.6334216753105935
29;0.0;58.58005992828795;22.359406413574604;58.58005992828795;58.58005992828795;80.93946634186256;0.0;22.359406413574604
30;0.0;59.604118818473516;8.556909749057732;59.604118818473516;59.604118818473516;68.16102856753125;0.0;8.55690974905773
31;0.0;59.669329069634585;19.174030783697578;59.669329069634585;59.669329069634585;78.84335985333216;0.0;19.174030783697575
32;0.0;64.34730680110987;0.5756173357966966;64.34730680110987;64.34730680110987;64.92292413690656;0.0;0.5756173357966929
33;0.0;66.73617128470386;3.225578011735527;66.73617128470386;66.73617128470386;69.96174929643938;0.0;3.2255780117355215
34;0.0;76.72957145592513;2.4270832389176635;76.72957145592513;76.72957145592513;79.15665469484279;0.0;2.4270832389176604
35;0.0;81.92280257907169;9.807102636982878;81.92280257907169;81.92280257907169;91.72990521605456;0.0;9.807102636982876
36;0.0;82.20543028467863;10.643283163046743;82.20543028467863;82.20543028467863;92.84871344772537;0.0;10.643283163046746
37;0.0;83.45855308225082;1.7673060693397655;83.45855308225082;83.45855308225082;85.22585915159058;0.0;1.7673060693397673
38;0.0;83.53657958590007;2.827203470625989;83.53657958590007;83.53657958590007;86.36378305652606;0.0;2.8272034706259888
39;0.0;85.51485070466704;1.0678997472523726;85.51485070466704;85.51485070466704;86.58275045191941;0.0;1.067899747252369
40;0.0;89.33706391989116;8.042462763768148;89.33706391989116;89.33706391989116;97.37952668365931;0.0;8.042462763768143
41;0.0;95.66291633232757;5.461652865383546;95.66291633232757;95.66291633232757;101.12456919771111;0.0;5.461652865383542
42;0.0;97.34435976635824;1.6420962072620207;97.34435976635824;97.34435976635824;98.98645597362025;0.0;1.6420962072620142
43;0.0;97.49464589843198;4.408715296780689;97.49464589843198;97.49464589843198;101.90336119521267;0.0;4.408715296780684
44;0.0;97.93300270226644;0.522589157810836;97.93300270226644;97.93300270226644;98.45559186007728;0.0;0.5225891578108417
45;0.0;99.12580668075503;15.534209847157246;99.12580668075503;99.12580668075503;114.66001652791228;0.0;15.534209847157243
