vessel_ID;vessel_type;arrival_timestamps;time in service;Enter queue timestamp;Enter berth timestamp;Exit berth timestamp;In queue
0;0.0;1.6916972842544342;2.381675637192611;1.6916972842544342;1.6916972842544342;4.073372921447046;0.0
1;0.0;1.691902412398835;19.532714519707724;1.691902412398835;1.691902412398835;21.22461693210656;0.0
2;0.0;1.717870861554373;11.78009616653101;1.717870861554373;1.717870861554373;13.497967028085382;0.0
3;0.0;2.5254873363411456;19.364436901568727;2.5254873363411456;2.5254873363411456;21.889924237909874;0.0
4;0.0;3.1305271256065943;12.582646204259717;3.1305271256065943;3.1305271256065943;15.713173329866311;0.0
5;0.0;3.261875114813698;9.332226097390377;3.261875114813698;3.261875114813698;12.594101212204075;0.0
6;0.0;3.885125331122845;4.278039389512013;3.885125331122845;3.885125331122845;8.163164720634857;0.0
7;0.0;4.456627917233575;14.950777594862279;4.456627917233575;4.456627917233575;19.407405512095856;0.0
8;0.0;5.661801207132358;8.83525757401517;5.661801207132358;5.661801207132358;14.497058781147528;0.0
9;0.0;6.477111909895061;6.998495821629363;6.477111909895061;6.477111909895061;13.475607731524423;0.0
10;0.0;8.84530750733529;2.234638426950775;8.84530750733529;8.84530750733529;11.079945934286066;0.0
11;0.0;9.854402509621039;2.4547219588095195;9.854402509621039;9.854402509621039;12.309124468430559;0.0
12;0.0;13.564638282010364;2.324685307057853;13.564638282010364;13.564638282010364;15.889323589068217;0.0
13;0.0;16.283953519678498;2.5404171360406433;16.283953519678498;16.283953519678498;18.824370655719143;0.0
14;0.0;16.704573955535334;6.619830401066446;16.704573955535334;16.704573955535334;23.324404356601782;0.0
15;0.0;18.920070783713953;9.336728618392847;18.920070783713953;18.920070783713953;28.2567994021068;0.0
16;0.0;20.38126670954733;21.752237339003134;20.38126670954733;20.38126670954733;42.13350404855046;0.0
17;0.0;21.636972921770287;2.780654817072542;21.636972921770287;21.636972921770287;24.417627738842828;0.0
18;0.0;22.909044042551393;1.320169500592002;22.909044042551393;22.909044042551393;24.229213543143395;0.0
19;0.0;22.9763988085087;7.409138721936671;22.9763988085087;22.9763988085087;30.385537530445372;0.0
20;0.0;23.226225657925365;7.863490834956805;23.226225657925365;23.226225657925365;31.089716492882168;0.0
21;0.0;23.25522168462968;3.8013131857744002;23.25522168462968;23.25522168462968;27.056534870404082;0.0
22;0.0;24.114464265557984;2.630449656579423;24.114464265557984;24.114464265557984;26.744913922137407;0.0
23;0.0;24.446696674760037;0.07072008468997129;24.446696674760037;24.446696674760037;24.517416759450008;0.0
24;0.0;25.436272252990705;2.142202769446563;25.436272252990705;25.436272252990705;27.578475022437267;0.0
25;0.0;25.49162519777128;11.871061214693567;25.49162519777128;25.49162519777128;37.362686412464846;0.0
26;0.0;25.618091940859628;2.7627001847313286;25.618091940859628;25.618091940859628;28.380792125590958;0.0
27;0.0;26.10409263984019;0.2592356809825805;26.10409263984019;26.10409263984019;26.36332832082277;0.0
28;0.0;26.4552969831799;2.26068718767193;26.4552969831799;26.4552969831799;28.71598417085183;0.0
29;0.0;27.143745419473024;0.36057139826918183;27.143745419473024;27.143745419473024;27.504316817742207;0.0
30;0.0;27.421571977086508;23.215398571483412;27.421571977086508;27.421571977086508;50.63697054856992;0.0
31;0.0;28.377583879557815;5.532308596276248;28.377583879557815;28.377583879557815;33.90989247583406;0.0
32;0.0;29.18035275190945;4.495095293108862;29.18035275190945;29.18035275190945;33.675448045018314;0.0
33;0.0;29.67490438314474;10.158678028485395;29.67490438314474;29.67490438314474;39.83358241163013;0.0
34;0.0;30.042637543570702;4.096234165667015;30.042637543570702;30.042637543570702;34.13887170923772;0.0
35;0.0;30.56133860081925;1.8312079500205956;30.56133860081925;30.56133860081925;32.392546550839846;0.0
36;0.0;31.43641137560325;12.495971903715999;31.43641137560325;31.43641137560325;43.93238327931925;0.0
37;0.0;31.835902380012573;0.6419410875394834;31.835902380012573;31.835902380012573;32.477843467552056;0.0
38;0.0;31.929488614058727;8.356774389469622;31.929488614058727;31.929488614058727;40.28626300352835;0.0
39;0.0;32.29547256317029;6.725555508360382;32.29547256317029;32.29547256317029;39.02102807153067;0.0
40;0.0;32.56424465919652;2.131879443819819;32.56424465919652;32.56424465919652;34.69612410301634;0.0
41;0.0;32.613708364643735;0.8221666359747072;32.613708364643735;32.613708364643735;33.435875000618445;0.0
42;0.0;33.06646286486228;2.72821089112351;33.06646286486228;33.06646286486228;35.79467375598579;0.0
43;0.0;33.09308322135113;5.717899292866778;33.09308322135113;33.09308322135113;38.810982514217905;0.0
44;0.0;33.797108473306146;6.734863797671473;33.797108473306146;33.797108473306146;40.53197227097762;0.0
45;0.0;37.012108211471286;7.48425565885116;37.012108211471286;37.012108211471286;44.49636387032245;0.0
46;0.0;37.23102854597088;6.90179087079793;37.23102854597088;37.23102854597088;44.13281941676881;0.0
47;0.0;38.82756043421574;0.2272791932113386;38.82756043421574;38.82756043421574;39.05483962742708;0.0
48;0.0;39.51181883342549;4.837992934455615;39.51181883342549;39.51181883342549;44.3498117678811;0.0
49;0.0;40.78360028665936;1.2827334584633687;40.78360028665936;40.78360028665936;42.066333745122726;0.0
50;0.0;40.90072110603972;7.082893866114998;40.90072110603972;40.90072110603972;47.98361497215472;0.0
51;0.0;41.71462275644461;7.228804737931528;41.71462275644461;41.71462275644461;48.94342749437614;0.0
52;0.0;41.945787479325645;1.2519657385761218;41.945787479325645;41.945787479325645;43.19775321790177;0.0
53;0.0;42.6024896593497;4.589225354109619;42.6024896593497;42.6024896593497;47.191715013459316;0.0
